Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
5478,906,30335,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
5479,907,15889,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5480,907,15889,1,DATA SECURITY,DATA SECURITY
5481,907,15889,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5482,907,15889,14,Web Engineering,Web Engineering
5483,908,6965,0,Computing Algorithms,Computing Algorithms
5484,908,6965,14,Web Engineering,Web Engineering
5485,908,6965,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5486,908,6965,21,Cyber Security,Cyber Security
5487,909,19728,3,NEURAL NETWORKS,NEURAL NETWORKS
5488,909,19728,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5489,909,19728,0,Computing Algorithms,Computing Algorithms
5490,909,19728,20,Embeded Systems Desin,Embeded Systems Desin
5491,910,16086,5,Modelling & Simulation,Modelling & Simulation
5494,910,16086,1,DATA SECURITY,DATA SECURITY
5495,910,16086,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5496,910,16086,3,NEURAL NETWORKS,NEURAL NETWORKS
5497,910,16086,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5498,911,18546,1,DATA SECURITY,DATA SECURITY
5499,911,18546,3,NEURAL NETWORKS,NEURAL NETWORKS
5500,911,18546,5,Modelling & Simulation,Modelling & Simulation
5501,911,18546,11,Cloud Computing,Cloud Computing
5507,202,29504,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5510,202,29504,20,Embeded Systems Desin,Embeded Systems Desin
5511,912,10919,3,NEURAL NETWORKS,NEURAL NETWORKS
5512,912,10919,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5513,912,10919,1,DATA SECURITY,DATA SECURITY
5514,912,10919,11,Cloud Computing,Cloud Computing
5515,913,21966,3,NEURAL NETWORKS,NEURAL NETWORKS
5516,913,21966,10,COMPUTER DESIGN & PERFORMANCE EVAL.,COMPUTER DESIGN & PERFORMANCE EVAL.
5517,913,21966,1,DATA SECURITY,DATA SECURITY
5518,913,21966,11,Cloud Computing,Cloud Computing
5519,914,710,3,NEURAL NETWORKS,NEURAL NETWORKS
5520,914,710,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5521,914,710,0,Computing Algorithms,Computing Algorithms
5522,914,710,20,Embeded Systems Desin,Embeded Systems Desin
5523,914,710,1,DATA SECURITY,DATA SECURITY
5524,915,29994,5,Modelling & Simulation,Modelling & Simulation
5525,915,29994,3,NEURAL NETWORKS,NEURAL NETWORKS
5526,915,29994,12,Mobile Applications,Mobile Applications
5527,915,29994,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5528,915,29994,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5529,916,13488,3,NEURAL NETWORKS,NEURAL NETWORKS
5530,48,31283,1,DATA SECURITY,DATA SECURITY
5534,48,31283,12,Mobile Applications,Mobile Applications
5535,48,31283,19,Introduction to Big Data Management,Introduction to Big Data Management
5536,48,31283,11,Cloud Computing,Cloud Computing
5537,917,24762,14,Web Engineering,Web Engineering
5538,917,24762,1,DATA SECURITY,DATA SECURITY
5539,918,29798,14,Web Engineering,Web Engineering
5540,918,29798,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5541,918,29798,21,Cyber Security,Cyber Security
5542,918,29798,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5543,919,14678,14,Web Engineering,Web Engineering
5544,919,14678,1,DATA SECURITY,DATA SECURITY
5545,919,14678,19,Introduction to Big Data Management,Introduction to Big Data Management
5546,919,14678,11,Cloud Computing,Cloud Computing
5547,920,30034,1,DATA SECURITY,DATA SECURITY
5548,920,30034,14,Web Engineering,Web Engineering
5549,920,30034,19,Introduction to Big Data Management,Introduction to Big Data Management
5550,920,30034,11,Cloud Computing,Cloud Computing
5551,921,1387,0,Computing Algorithms,Computing Algorithms
