Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
5142,848,1699,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
5143,848,1699,21,Cyber Security,Cyber Security
5144,848,1699,19,Introduction to Big Data Management,Introduction to Big Data Management
5145,849,32174,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5146,849,32174,19,Introduction to Big Data Management,Introduction to Big Data Management
5147,849,32174,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5148,849,32174,1,DATA SECURITY,DATA SECURITY
5149,849,32174,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5150,849,32174,15,Introduction to Data Mining,Introduction to Data Mining
5151,850,1590,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5152,850,1590,1,DATA SECURITY,DATA SECURITY
5153,850,1590,14,Web Engineering,Web Engineering
5154,850,1590,19,Introduction to Big Data Management,Introduction to Big Data Management
5155,850,1590,12,Mobile Applications,Mobile Applications
5156,850,1590,15,Introduction to Data Mining,Introduction to Data Mining
5157,851,13878,0,Computing Algorithms,Computing Algorithms
5158,851,13878,1,DATA SECURITY,DATA SECURITY
5159,851,13878,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5160,851,13878,12,Mobile Applications,Mobile Applications
5161,851,13878,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
5162,851,13878,21,Cyber Security,Cyber Security
5163,851,13878,19,Introduction to Big Data Management,Introduction to Big Data Management
5164,852,2985,0,Computing Algorithms,Computing Algorithms
5165,852,2985,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5166,852,2985,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
5167,852,2985,19,Introduction to Big Data Management,Introduction to Big Data Management
5168,852,2985,1,DATA SECURITY,DATA SECURITY
5169,852,2985,15,Introduction to Data Mining,Introduction to Data Mining
5170,853,24944,14,Web Engineering,Web Engineering
5171,853,24944,1,DATA SECURITY,DATA SECURITY
5172,853,24944,12,Mobile Applications,Mobile Applications
5173,853,24944,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5174,853,24944,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5175,853,24944,15,Introduction to Data Mining,Introduction to Data Mining
5177,189,8394,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
5178,189,8394,19,Introduction to Big Data Management,Introduction to Big Data Management
5179,189,8394,12,Mobile Applications,Mobile Applications
5180,189,8394,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5181,189,8394,15,Introduction to Data Mining,Introduction to Data Mining
5182,854,23027,10,COMPUTER DESIGN & PERFORMANCE EVAL.,COMPUTER DESIGN & PERFORMANCE EVAL.
5183,854,23027,12,Mobile Applications,Mobile Applications
